visit,wait,slow,fast
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
0.003,0,0,0
